Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2016,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,ذكر,غير سعودي,1
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,عسير,أبها,جامعة,جامعة الملك خالد,الفنون والعلوم الإنسانية,الدراسات الإنسانية,التاريخ وعلم الآثار,منتظم,أنثى,سعودي,30
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,الفنون والعلوم الإنسانية,الدراسات الإنسانية,التاريخ وعلم الآثار,منتظم,أنثى,سعودي,47
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم النفس,منتظم,أنثى,سعودي,10
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الحدود الشمالية,طريف,جامعة,جامعة الحدود الشمالية,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,البكيرية,جامعة,جامعة القصيم,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج غير مصنفة في مجال تكنولوجيا الاتصالات والمعلومات,منتظم,أنثى,سعودي,40
1/1/2013,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الشرقية,الجبيل,كلية,كلية الجبيل الصناعية,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتسب,ذكر,سعودي,3
1/1/2015,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,371
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,أنثى,سعودي,44
1/1/2013,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الباحة,الباحة,كلية,المؤسسة العامة للتدريب التقني والمهني,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,223
